IDOC_NUMBER,MESTYP,DIRECTION,PARTNER_SYSTEM,STATUS_CODE,STATUS_DESC,ROOT_CAUSE,RESOLUTION,TIMESTAMP,RESOLVED_FLAG
0600000671,INVOIC,OUTBOUND,LEGACY_MAINFRAME,68,Error - no further processing,A custom exit or user-status routine explicitly stopped processing,Debug the associated function module / process code in WE42; check custom Z-exits,2026-03-18 16:59:33.911522,True
0600000158,DEBMAS,INBOUND,3PL_PROVIDER,53,Application document posted,,,2026-03-19 12:03:33.911522,True
0600000014,MATMAS,OUTBOUND,CRM_SFDC,53,Application document posted,,,2026-03-19 12:25:33.911522,True
0600000004,MATMAS,INBOUND,BTP_INTEGRATION_SUITE,68,Error - no further processing,A custom exit or user-status routine explicitly stopped processing,Debug the associated function module / process code in WE42; check custom Z-exits,2026-03-20 02:50:33.911522,True
0600000326,WMMBXY,OUTBOUND,EDI_GATEWAY,53,Application document posted,,,2026-03-21 10:02:33.911522,True
0600000143,ORDERS,OUTBOUND,LEGACY_MAINFRAME,56,IDoc with errors added,Syntax or structural error while adding the IDoc to the database,Review IDoc control record and segment structure against the message type definition; check partner profile (WE20),2026-03-21 10:31:33.911522,True
0600000045,WMMBXY,OUTBOUND,ARIBA_NETWORK,53,Application document posted,,,2026-03-21 14:51:33.911522,True
0600000615,CREMAS,OUTBOUND,CRM_SFDC,53,Application document posted,,,2026-03-21 18:15:33.911522,True
0600000218,DEBMAS,INBOUND,ARIBA_NETWORK,53,Application document posted,,,2026-03-21 18:54:33.911522,True
0600000419,DEBMAS,INBOUND,BTP_INTEGRATION_SUITE,29,Error in ALE service,Distribution model (BD64) misconfigured or filter object excluding the record,Review distribution model and filter/segment filters; regenerate partner profiles,2026-03-21 19:27:33.911522,True
0600000794,DESADV,OUTBOUND,3PL_PROVIDER,53,Application document posted,,,2026-03-22 01:56:33.911522,True
0600000408,WMMBXY,OUTBOUND,CRM_SFDC,29,Error in ALE service,Distribution model (BD64) misconfigured or filter object excluding the record,Review distribution model and filter/segment filters; regenerate partner profiles,2026-03-22 06:48:33.911522,True
0600000736,DESADV,OUTBOUND,EDI_GATEWAY,53,Application document posted,,,2026-03-22 07:28:33.911522,True
0600000659,WMMBXY,INBOUND,EDI_GATEWAY,51,Application document not posted,Data inconsistency in target application (e.g. missing customer/material master record),Check IDoc segment data in WE02/WE05; verify referenced master data exists; reprocess via BD87,2026-03-22 10:12:33.911522,True
0600000162,MATMAS,OUTBOUND,B2B_VAN_SPS,02,"Error passing data to port (outbound, dispatch)",tRFC queue stuck or destination system down at dispatch time,Check tRFC monitor (SM58); reprocess stuck LUWs; confirm target availability,2026-03-22 11:12:33.911522,True
0600000110,DESADV,OUTBOUND,WMS_MANHATTAN,53,Application document posted,,,2026-03-22 12:16:33.911522,True
0600000538,ORDERS,INBOUND,CRM_SFDC,53,Application document posted,,,2026-03-23 00:22:33.911522,True
0600000752,ORDERS,OUTBOUND,ARIBA_NETWORK,68,Error - no further processing,A custom exit or user-status routine explicitly stopped processing,Debug the associated function module / process code in WE42; check custom Z-exits,2026-03-23 03:51:33.911522,False
0600000739,MATMAS,INBOUND,BTP_INTEGRATION_SUITE,53,Application document posted,,,2026-03-23 06:36:33.911522,True
0600000644,CREMAS,OUTBOUND,EDI_GATEWAY,29,Error in ALE service,Distribution model (BD64) misconfigured or filter object excluding the record,Review distribution model and filter/segment filters; regenerate partner profiles,2026-03-23 07:26:33.911522,True
0600000427,DESADV,INBOUND,3PL_PROVIDER,53,Application document posted,,,2026-03-23 18:03:33.911522,True
0600000433,INVOIC,INBOUND,3PL_PROVIDER,53,Application document posted,,,2026-03-23 21:40:33.911522,True
0600000779,ORDRSP,INBOUND,CRM_SFDC,53,Application document posted,,,2026-03-23 23:51:33.911522,True
0600000237,DESADV,OUTBOUND,CRM_SFDC,53,Application document posted,,,2026-03-24 16:23:33.911522,True
0600000573,DESADV,OUTBOUND,LEGACY_MAINFRAME,53,Application document posted,,,2026-03-24 18:14:33.911522,True
0600000303,ORDERS,OUTBOUND,ARIBA_NETWORK,53,Application document posted,,,2026-03-24 19:29:33.911522,True
0600000657,INVOIC,INBOUND,3PL_PROVIDER,53,Application document posted,,,2026-03-25 04:10:33.911522,True
0600000491,ORDERS,INBOUND,CRM_SFDC,53,Application document posted,,,2026-03-25 06:52:33.911522,True
0600000068,INVOIC,INBOUND,WMS_MANHATTAN,53,Application document posted,,,2026-03-25 12:57:33.911522,True
0600000142,DESADV,OUTBOUND,EDI_GATEWAY,51,Application document not posted,Data inconsistency in target application (e.g. missing customer/material master record),Check IDoc segment data in WE02/WE05; verify referenced master data exists; reprocess via BD87,2026-03-25 14:21:33.911522,True
0600000259,WMMBXY,OUTBOUND,CRM_SFDC,53,Application document posted,,,2026-03-26 07:21:33.911522,True
0600000282,ORDERS,OUTBOUND,CRM_SFDC,53,Application document posted,,,2026-03-26 08:55:33.911522,True
0600000501,CREMAS,OUTBOUND,3PL_PROVIDER,53,Application document posted,,,2026-03-26 10:21:33.911522,True
0600000572,INVOIC,INBOUND,CRM_SFDC,53,Application document posted,,,2026-03-26 22:48:33.911522,True
0600000548,ORDRSP,INBOUND,LEGACY_MAINFRAME,53,Application document posted,,,2026-03-26 23:18:33.911522,True
0600000180,CREMAS,OUTBOUND,EDI_GATEWAY,53,Application document posted,,,2026-03-27 00:30:33.911522,True
0600000405,ORDRSP,OUTBOUND,WMS_MANHATTAN,53,Application document posted,,,2026-03-27 04:58:33.911522,True
0600000070,DEBMAS,INBOUND,BTP_INTEGRATION_SUITE,53,Application document posted,,,2026-03-27 15:36:33.911522,True
0600000280,CREMAS,INBOUND,BTP_INTEGRATION_SUITE,64,IDoc ready to be transferred to application,"Not an error state, but IDocs stuck here indicate the inbound processing job did not run",Check background job scheduling for RBDAPP01 / workflow; verify inbound processing is not deactivated in WE20,2026-03-28 07:56:33.911522,False
0600000065,WMMBXY,OUTBOUND,3PL_PROVIDER,53,Application document posted,,,2026-03-28 08:49:33.911522,True
0600000254,ORDRSP,OUTBOUND,ARIBA_NETWORK,51,Application document not posted,Data inconsistency in target application (e.g. missing customer/material master record),Check IDoc segment data in WE02/WE05; verify referenced master data exists; reprocess via BD87,2026-03-28 17:27:33.911522,False
0600000107,CREMAS,OUTBOUND,B2B_VAN_SPS,53,Application document posted,,,2026-03-29 02:28:33.911522,True
0600000718,MATMAS,INBOUND,BTP_INTEGRATION_SUITE,53,Application document posted,,,2026-03-29 12:37:33.911522,True
0600000745,ORDRSP,OUTBOUND,B2B_VAN_SPS,68,Error - no further processing,A custom exit or user-status routine explicitly stopped processing,Debug the associated function module / process code in WE42; check custom Z-exits,2026-03-29 13:40:33.911522,False
0600000633,WMMBXY,OUTBOUND,B2B_VAN_SPS,53,Application document posted,,,2026-03-29 17:26:33.911522,True
0600000701,INVOIC,INBOUND,3PL_PROVIDER,53,Application document posted,,,2026-03-29 22:51:33.911522,True
0600000597,CREMAS,INBOUND,LEGACY_MAINFRAME,20,Error passing data to port,Communication channel (RFC destination / file port) unreachable or misconfigured,Test RFC destination in SM59; verify port definition in WE21; check target system availability,2026-03-30 00:32:33.911522,True
0600000637,DEBMAS,INBOUND,3PL_PROVIDER,53,Application document posted,,,2026-03-30 04:51:33.911522,True
0600000366,DESADV,OUTBOUND,ARIBA_NETWORK,53,Application document posted,,,2026-03-30 06:46:33.911522,True
0600000062,MATMAS,INBOUND,EDI_GATEWAY,20,Error passing data to port,Communication channel (RFC destination / file port) unreachable or misconfigured,Test RFC destination in SM59; verify port definition in WE21; check target system availability,2026-03-30 17:28:33.911522,False
0600000053,DEBMAS,OUTBOUND,3PL_PROVIDER,68,Error - no further processing,A custom exit or user-status routine explicitly stopped processing,Debug the associated function module / process code in WE42; check custom Z-exits,2026-03-30 21:56:33.911522,True
0600000358,INVOIC,INBOUND,LEGACY_MAINFRAME,53,Application document posted,,,2026-03-31 01:02:33.911522,True
0600000588,INVOIC,OUTBOUND,BTP_INTEGRATION_SUITE,29,Error in ALE service,Distribution model (BD64) misconfigured or filter object excluding the record,Review distribution model and filter/segment filters; regenerate partner profiles,2026-03-31 06:12:33.911522,True
0600000432,ORDERS,INBOUND,ARIBA_NETWORK,53,Application document posted,,,2026-03-31 09:09:33.911522,True
0600000356,WMMBXY,INBOUND,WMS_MANHATTAN,53,Application document posted,,,2026-03-31 09:19:33.911522,True
0600000176,WMMBXY,OUTBOUND,3PL_PROVIDER,53,Application document posted,,,2026-03-31 11:21:33.911522,True
0600000072,ORDERS,INBOUND,B2B_VAN_SPS,20,Error passing data to port,Communication channel (RFC destination / file port) unreachable or misconfigured,Test RFC destination in SM59; verify port definition in WE21; check target system availability,2026-03-31 18:09:33.911522,True
0600000189,DEBMAS,OUTBOUND,LEGACY_MAINFRAME,26,Error during syntax check of IDoc (outbound),IDoc structure does not match the basic type definition (missing mandatory segment),Compare IDoc type (WE30) against generated data; check segment release/version,2026-04-01 09:24:33.911522,True
0600000391,ORDRSP,INBOUND,3PL_PROVIDER,53,Application document posted,,,2026-04-01 17:03:33.911522,True
0600000294,CREMAS,INBOUND,LEGACY_MAINFRAME,26,Error during syntax check of IDoc (outbound),IDoc structure does not match the basic type definition (missing mandatory segment),Compare IDoc type (WE30) against generated data; check segment release/version,2026-04-01 19:19:33.911522,True
0600000799,ORDERS,INBOUND,B2B_VAN_SPS,53,Application document posted,,,2026-04-01 19:23:33.911522,True
0600000394,MATMAS,OUTBOUND,B2B_VAN_SPS,53,Application document posted,,,2026-04-01 19:43:33.911522,True
0600000114,INVOIC,INBOUND,WMS_MANHATTAN,26,Error during syntax check of IDoc (outbound),IDoc structure does not match the basic type definition (missing mandatory segment),Compare IDoc type (WE30) against generated data; check segment release/version,2026-04-01 23:16:33.911522,True
0600000740,INVOIC,INBOUND,CRM_SFDC,Duplicate,Duplicate IDoc detected for same business document,"Sender retried after a timeout without receiving acknowledgment, or interface lacks idempotency key",Implement duplicate-check logic on the natural key (PO/order number) before posting; enable IDoc duplicate check in partner profile,2026-04-02 00:56:33.911522,True
0600000444,DEBMAS,INBOUND,EDI_GATEWAY,53,Application document posted,,,2026-04-02 06:24:33.911522,True
0600000279,WMMBXY,INBOUND,EDI_GATEWAY,51,Application document not posted,Data inconsistency in target application (e.g. missing customer/material master record),Check IDoc segment data in WE02/WE05; verify referenced master data exists; reprocess via BD87,2026-04-02 12:42:33.911522,False
0600000334,DESADV,OUTBOUND,3PL_PROVIDER,53,Application document posted,,,2026-04-02 19:15:33.911522,True
0600000089,MATMAS,INBOUND,BTP_INTEGRATION_SUITE,53,Application document posted,,,2026-04-02 21:30:33.911522,True
0600000594,WMMBXY,INBOUND,BTP_INTEGRATION_SUITE,53,Application document posted,,,2026-04-03 07:06:33.911522,True
0600000295,ORDERS,OUTBOUND,BTP_INTEGRATION_SUITE,56,IDoc with errors added,Syntax or structural error while adding the IDoc to the database,Review IDoc control record and segment structure against the message type definition; check partner profile (WE20),2026-04-03 17:04:33.911522,True
0600000009,DEBMAS,OUTBOUND,EDI_GATEWAY,53,Application document posted,,,2026-04-03 19:22:33.911522,True
0600000323,ORDERS,OUTBOUND,CRM_SFDC,53,Application document posted,,,2026-04-04 04:00:33.911522,True
0600000714,CREMAS,OUTBOUND,3PL_PROVIDER,20,Error passing data to port,Communication channel (RFC destination / file port) unreachable or misconfigured,Test RFC destination in SM59; verify port definition in WE21; check target system availability,2026-04-04 12:33:33.911522,False
0600000301,DESADV,INBOUND,BTP_INTEGRATION_SUITE,53,Application document posted,,,2026-04-04 13:26:33.911522,True
0600000749,INVOIC,INBOUND,B2B_VAN_SPS,29,Error in ALE service,Distribution model (BD64) misconfigured or filter object excluding the record,Review distribution model and filter/segment filters; regenerate partner profiles,2026-04-04 20:10:33.911522,False
0600000310,DESADV,INBOUND,BTP_INTEGRATION_SUITE,53,Application document posted,,,2026-04-04 21:32:33.911522,True
0600000092,ORDRSP,OUTBOUND,CRM_SFDC,53,Application document posted,,,2026-04-04 21:57:33.911522,True
0600000206,WMMBXY,OUTBOUND,CRM_SFDC,53,Application document posted,,,2026-04-05 00:35:33.911522,True
0600000163,ORDRSP,OUTBOUND,WMS_MANHATTAN,26,Error during syntax check of IDoc (outbound),IDoc structure does not match the basic type definition (missing mandatory segment),Compare IDoc type (WE30) against generated data; check segment release/version,2026-04-05 02:17:33.911522,True
0600000402,DESADV,INBOUND,WMS_MANHATTAN,26,Error during syntax check of IDoc (outbound),IDoc structure does not match the basic type definition (missing mandatory segment),Compare IDoc type (WE30) against generated data; check segment release/version,2026-04-05 10:56:33.911522,True
0600000487,CREMAS,INBOUND,WMS_MANHATTAN,53,Application document posted,,,2026-04-05 11:40:33.911522,True
0600000192,MATMAS,OUTBOUND,CRM_SFDC,53,Application document posted,,,2026-04-05 11:45:33.911522,True
0600000662,ORDERS,INBOUND,3PL_PROVIDER,53,Application document posted,,,2026-04-05 16:26:33.911522,True
0600000563,MATMAS,OUTBOUND,LEGACY_MAINFRAME,Duplicate,Duplicate IDoc detected for same business document,"Sender retried after a timeout without receiving acknowledgment, or interface lacks idempotency key",Implement duplicate-check logic on the natural key (PO/order number) before posting; enable IDoc duplicate check in partner profile,2026-04-06 02:56:33.911522,True
0600000196,ORDRSP,OUTBOUND,WMS_MANHATTAN,53,Application document posted,,,2026-04-06 05:06:33.911522,True
0600000123,MATMAS,INBOUND,WMS_MANHATTAN,64,IDoc ready to be transferred to application,"Not an error state, but IDocs stuck here indicate the inbound processing job did not run",Check background job scheduling for RBDAPP01 / workflow; verify inbound processing is not deactivated in WE20,2026-04-06 05:34:33.911522,False
0600000214,ORDRSP,OUTBOUND,B2B_VAN_SPS,53,Application document posted,,,2026-04-06 05:54:33.911522,True
0600000128,INVOIC,INBOUND,B2B_VAN_SPS,53,Application document posted,,,2026-04-06 09:40:33.911522,True
0600000616,ORDERS,INBOUND,LEGACY_MAINFRAME,53,Application document posted,,,2026-04-06 11:11:33.911522,True
0600000682,CREMAS,INBOUND,3PL_PROVIDER,53,Application document posted,,,2026-04-06 12:32:33.911522,True
0600000628,MATMAS,INBOUND,BTP_INTEGRATION_SUITE,51,Application document not posted,Data inconsistency in target application (e.g. missing customer/material master record),Check IDoc segment data in WE02/WE05; verify referenced master data exists; reprocess via BD87,2026-04-06 14:11:33.911522,False
0600000202,DESADV,INBOUND,BTP_INTEGRATION_SUITE,64,IDoc ready to be transferred to application,"Not an error state, but IDocs stuck here indicate the inbound processing job did not run",Check background job scheduling for RBDAPP01 / workflow; verify inbound processing is not deactivated in WE20,2026-04-07 00:11:33.911522,True
0600000460,CREMAS,OUTBOUND,3PL_PROVIDER,53,Application document posted,,,2026-04-07 08:57:33.911522,True
0600000000,INVOIC,OUTBOUND,ARIBA_NETWORK,26,Error during syntax check of IDoc (outbound),IDoc structure does not match the basic type definition (missing mandatory segment),Compare IDoc type (WE30) against generated data; check segment release/version,2026-04-07 18:37:33.911522,True
0600000160,DESADV,OUTBOUND,3PL_PROVIDER,53,Application document posted,,,2026-04-07 22:28:33.911522,True
0600000778,CREMAS,INBOUND,LEGACY_MAINFRAME,Duplicate,Duplicate IDoc detected for same business document,"Sender retried after a timeout without receiving acknowledgment, or interface lacks idempotency key",Implement duplicate-check logic on the natural key (PO/order number) before posting; enable IDoc duplicate check in partner profile,2026-04-07 22:31:33.911522,True
0600000523,ORDERS,INBOUND,3PL_PROVIDER,53,Application document posted,,,2026-04-07 22:52:33.911522,True
0600000333,ORDERS,INBOUND,3PL_PROVIDER,53,Application document posted,,,2026-04-07 23:03:33.911522,True
0600000336,INVOIC,INBOUND,WMS_MANHATTAN,53,Application document posted,,,2026-04-07 23:36:33.911522,True
0600000484,CREMAS,OUTBOUND,EDI_GATEWAY,29,Error in ALE service,Distribution model (BD64) misconfigured or filter object excluding the record,Review distribution model and filter/segment filters; regenerate partner profiles,2026-04-08 02:22:33.911522,True
0600000742,DEBMAS,OUTBOUND,ARIBA_NETWORK,53,Application document posted,,,2026-04-08 04:22:33.911522,True
0600000048,DESADV,INBOUND,EDI_GATEWAY,26,Error during syntax check of IDoc (outbound),IDoc structure does not match the basic type definition (missing mandatory segment),Compare IDoc type (WE30) against generated data; check segment release/version,2026-04-08 10:10:33.911522,True
0600000440,MATMAS,OUTBOUND,CRM_SFDC,53,Application document posted,,,2026-04-08 12:29:33.911522,True
0600000793,DESADV,INBOUND,LEGACY_MAINFRAME,53,Application document posted,,,2026-04-08 12:35:33.911522,True
0600000063,DESADV,INBOUND,LEGACY_MAINFRAME,Duplicate,Duplicate IDoc detected for same business document,"Sender retried after a timeout without receiving acknowledgment, or interface lacks idempotency key",Implement duplicate-check logic on the natural key (PO/order number) before posting; enable IDoc duplicate check in partner profile,2026-04-08 17:44:33.911522,True
0600000116,DESADV,OUTBOUND,EDI_GATEWAY,53,Application document posted,,,2026-04-08 20:42:33.911522,True
0600000566,DEBMAS,OUTBOUND,EDI_GATEWAY,51,Application document not posted,Data inconsistency in target application (e.g. missing customer/material master record),Check IDoc segment data in WE02/WE05; verify referenced master data exists; reprocess via BD87,2026-04-09 10:59:33.911522,True
0600000766,INVOIC,OUTBOUND,3PL_PROVIDER,02,"Error passing data to port (outbound, dispatch)",tRFC queue stuck or destination system down at dispatch time,Check tRFC monitor (SM58); reprocess stuck LUWs; confirm target availability,2026-04-09 13:02:33.911522,False
0600000743,CREMAS,INBOUND,B2B_VAN_SPS,53,Application document posted,,,2026-04-09 16:06:33.911522,True
0600000029,CREMAS,INBOUND,EDI_GATEWAY,64,IDoc ready to be transferred to application,"Not an error state, but IDocs stuck here indicate the inbound processing job did not run",Check background job scheduling for RBDAPP01 / workflow; verify inbound processing is not deactivated in WE20,2026-04-09 16:24:33.911522,False
0600000446,ORDRSP,OUTBOUND,WMS_MANHATTAN,68,Error - no further processing,A custom exit or user-status routine explicitly stopped processing,Debug the associated function module / process code in WE42; check custom Z-exits,2026-04-10 03:32:33.911522,False
0600000722,DEBMAS,INBOUND,LEGACY_MAINFRAME,53,Application document posted,,,2026-04-10 09:05:33.911522,True
0600000357,WMMBXY,INBOUND,LEGACY_MAINFRAME,53,Application document posted,,,2026-04-10 10:54:33.911522,True
0600000478,INVOIC,INBOUND,BTP_INTEGRATION_SUITE,53,Application document posted,,,2026-04-10 13:56:33.911522,True
0600000784,CREMAS,INBOUND,CRM_SFDC,53,Application document posted,,,2026-04-10 17:30:33.911522,True
0600000664,ORDERS,OUTBOUND,B2B_VAN_SPS,53,Application document posted,,,2026-04-10 19:04:33.911522,True
0600000415,CREMAS,INBOUND,CRM_SFDC,53,Application document posted,,,2026-04-11 05:21:33.911522,True
0600000777,DESADV,INBOUND,LEGACY_MAINFRAME,20,Error passing data to port,Communication channel (RFC destination / file port) unreachable or misconfigured,Test RFC destination in SM59; verify port definition in WE21; check target system availability,2026-04-11 07:14:33.911522,True
0600000625,MATMAS,INBOUND,B2B_VAN_SPS,53,Application document posted,,,2026-04-12 00:44:33.911522,True
0600000122,MATMAS,OUTBOUND,3PL_PROVIDER,29,Error in ALE service,Distribution model (BD64) misconfigured or filter object excluding the record,Review distribution model and filter/segment filters; regenerate partner profiles,2026-04-12 02:23:33.911522,False
0600000445,ORDRSP,OUTBOUND,B2B_VAN_SPS,20,Error passing data to port,Communication channel (RFC destination / file port) unreachable or misconfigured,Test RFC destination in SM59; verify port definition in WE21; check target system availability,2026-04-12 19:31:33.911522,True
0600000621,CREMAS,OUTBOUND,LEGACY_MAINFRAME,53,Application document posted,,,2026-04-13 04:14:33.911522,True
0600000568,ORDRSP,OUTBOUND,LEGACY_MAINFRAME,53,Application document posted,,,2026-04-13 08:46:33.911522,True
0600000020,DESADV,INBOUND,EDI_GATEWAY,53,Application document posted,,,2026-04-13 16:06:33.911522,True
0600000576,CREMAS,OUTBOUND,BTP_INTEGRATION_SUITE,53,Application document posted,,,2026-04-13 21:13:33.911522,True
0600000105,DEBMAS,OUTBOUND,3PL_PROVIDER,53,Application document posted,,,2026-04-14 10:52:33.911522,True
0600000380,INVOIC,OUTBOUND,EDI_GATEWAY,53,Application document posted,,,2026-04-14 16:40:33.911522,True
