ERROR_ID,INTEGRATION_TYPE,ERROR_CODE,SHORT_DESCRIPTION,LIKELY_CAUSE,RESOLUTION_STEPS,SEVERITY,TYPICAL_SYSTEM
ERR-0001,IDoc,51,Application document not posted,Data inconsistency in target application (e.g. missing customer/material master record),Check IDoc segment data in WE02/WE05; verify referenced master data exists; reprocess via BD87,High,ECC / S4HANA
ERR-0002,IDoc,56,IDoc with errors added,Syntax or structural error while adding the IDoc to the database,Review IDoc control record and segment structure against the message type definition; check partner profile (WE20),Medium,ECC / S4HANA
ERR-0003,IDoc,64,IDoc ready to be transferred to application,"Not an error state, but IDocs stuck here indicate the inbound processing job did not run",Check background job scheduling for RBDAPP01 / workflow; verify inbound processing is not deactivated in WE20,Medium,ECC / S4HANA
ERR-0004,IDoc,68,Error - no further processing,A custom exit or user-status routine explicitly stopped processing,Debug the associated function module / process code in WE42; check custom Z-exits,High,ECC / S4HANA
ERR-0005,IDoc,29,Error in ALE service,Distribution model (BD64) misconfigured or filter object excluding the record,Review distribution model and filter/segment filters; regenerate partner profiles,Medium,ECC / S4HANA
ERR-0006,IDoc,26,Error during syntax check of IDoc (outbound),IDoc structure does not match the basic type definition (missing mandatory segment),Compare IDoc type (WE30) against generated data; check segment release/version,High,ECC / S4HANA
ERR-0007,IDoc,20,Error passing data to port,Communication channel (RFC destination / file port) unreachable or misconfigured,Test RFC destination in SM59; verify port definition in WE21; check target system availability,Critical,ECC / S4HANA
ERR-0008,IDoc,02,"Error passing data to port (outbound, dispatch)",tRFC queue stuck or destination system down at dispatch time,Check tRFC monitor (SM58); reprocess stuck LUWs; confirm target availability,Critical,ECC / S4HANA
ERR-0009,IDoc,Duplicate,Duplicate IDoc detected for same business document,"Sender retried after a timeout without receiving acknowledgment, or interface lacks idempotency key",Implement duplicate-check logic on the natural key (PO/order number) before posting; enable IDoc duplicate check in partner profile,Medium,PI/PO / CPI
ERR-0010,BAPI,E-100,BAPI_RETURN type E - mandatory field missing,Calling program did not populate a required structure field,Inspect BAPI_RETURN table for field name; validate mapping populates all mandatory fields before BAPI call,Medium,ECC / S4HANA
ERR-0011,BAPI,E-101,BAPI_RETURN type E - authorization missing,Communication user lacks authorization object for the target transaction,Add missing authorization object/values to the communication user's role via SU53 trace,High,ECC / S4HANA
ERR-0012,BAPI,E-102,BAPI commit not executed / changes rolled back,Caller invoked the BAPI but never called BAPI_TRANSACTION_COMMIT,Ensure orchestration layer explicitly commits after a successful BAPI call sequence,High,Middleware / Custom ABAP
ERR-0013,BAPI,E-103,Duplicate document number in BAPI create,Number range buffer exhausted or external number assignment reused,Check number range object (SNRO); switch to internal assignment or extend buffer,Medium,ECC / S4HANA
ERR-0014,RFC,RFC_ERROR_SYSTEM_FAILURE,Target system unreachable,"SAP Gateway/application server down, or network path blocked",Check ST22/SM21 on target; validate network route and firewall rules; verify RFC destination load balancing,Critical,Any ABAP stack
ERR-0015,RFC,RFC_ERROR_COMMUNICATION,Connection to partner broke down,"TCP session dropped mid-call, often due to timeout or gateway restart",Increase RFC timeout parameter; check SAP Gateway logs (dev_rfc.trc); enable retry with backoff,High,Any ABAP stack
ERR-0016,RFC,RFC_ERROR_LOGON_FAILURE,Logon failure calling remote system,"Expired password, locked user, or incorrect client/system number in RFC destination",Reset service user credentials; verify RFC destination (SM59) client/system parameters,High,Any ABAP stack
ERR-0017,RFC,SYSTEM_FAILURE,Short dump in remote-enabled function module,Unhandled exception in custom RFC-enabled FM logic,Analyze ST22 short dump; add explicit exception handling in the function module,High,Custom ABAP
ERR-0018,OData,400,Bad Request - malformed payload,Client sent a payload that does not match the OData service's EDM metadata,Validate payload against $metadata; check for missing navigation properties or type mismatches,Medium,S4HANA / BTP Integration Suite
ERR-0019,OData,401,Unauthorized,Missing or expired OAuth token / basic-auth credentials,Refresh OAuth token; verify communication arrangement and communication system credentials,High,S4HANA / BTP Integration Suite
ERR-0020,OData,403,Forbidden - CSRF token missing,Write operation (POST/PUT) sent without a valid X-CSRF-Token header,Fetch CSRF token via GET with X-CSRF-Token: Fetch header before the write call,Medium,S4HANA OData
ERR-0021,OData,404,Entity not found,Incorrect entity set name or key value in the request URL,Confirm entity set name against service metadata; validate key encoding (special characters),Low,S4HANA OData
ERR-0022,OData,409,Conflict - concurrent modification,ETag mismatch; the entity was updated by another process since it was last read,Re-fetch the entity to get the current ETag before retrying the update (optimistic concurrency),Medium,S4HANA OData
ERR-0023,OData,429,Too Many Requests - throttled,Client exceeded the tenant's configured rate limit,Implement exponential backoff and request batching; review BTP service plan rate limits,Medium,BTP Integration Suite
ERR-0024,EDI,997,Functional Acknowledgment rejects transaction set,Segment/element failed EDI standard or trading-partner-specific validation,Review 997 AK3/AK4 loop for the failing segment/element; correct mapping and resend,Medium,EDI VAN / B2B Gateway
ERR-0025,EDI,MAP-ERR,Mapping engine transformation failure,Source field value outside the expected code list for the target mapping (e.g. unknown UOM code),Extend the mapping's code-list lookup table; add default/error-queue handling for unmapped codes,Medium,SAP CPI / B2B Add-on
ERR-0026,CPI,MPL-TIMEOUT,Message Processing Log shows timeout,Downstream HTTP receiver adapter exceeded configured timeout under load,Increase receiver adapter timeout; check downstream system performance; consider async/queued pattern,High,SAP CPI
ERR-0027,CPI,MPL-RETRY-EXHAUSTED,"Retry count exhausted, message failed",Persistent downstream failure exceeded the configured number of automatic retries,Investigate root cause in downstream system; use Message Processing Log manual resend after fix,Critical,SAP CPI
