MATNR,MAKTX,MTART,MATKL,MEINS,NETPR,WAERS,WERKS,BRGEW_KG
0000900000,Devolved exuding Graphic Interface,FERT,RAW-CHEM,EA,8.01,USD,1000,66.9
0000900001,Robust system-worthy customer loyalty,HAWA,CONSUMABLES,EA,43.31,USD,1000,35.99
0000900002,Polarized foreground conglomeration,FERT,PACKAGING,PC,5.48,USD,2010,75.02
0000900003,Object-based foreground frame,FERT,PACKAGING,PC,3.0,USD,1000,93.07
0000900004,User-centric system-worthy productivity,ROH,MECH-PART,L,1.33,USD,1020,18.67
0000900005,Pre-emptive object-oriented toolset,FERT,FINISHED-ASSY,EA,81.5,USD,1020,44.83
0000900006,Fully-configurable fresh-thinking implementation,FERT,CONSUMABLES,EA,7.23,USD,2000,100.78
0000900007,Grass-roots zero tolerance infrastructure,HAWA,ELEC-COMP,EA,168.59,USD,1020,27.77
0000900008,Multi-lateral bifurcated open system,ROH,ELEC-COMP,EA,13.78,USD,1010,96.65
0000900009,Exclusive optimizing moratorium,DIEN,SERVICES,AU,42.03,USD,2000,113.33
0000900010,Enterprise-wide systemic throughput,FERT,MECH-PART,EA,3.81,USD,1010,10.31
0000900011,Reactive 4thgeneration superstructure,FERT,PACKAGING,PC,9.11,USD,2010,105.18
0000900012,Persistent tertiary database,ROH,FINISHED-ASSY,EA,43.82,USD,1010,99.02
0000900013,Organic explicit solution,FERT,CONSUMABLES,PC,32.72,USD,2000,74.92
0000900014,Cloned incremental service-desk,FERT,RAW-CHEM,EA,2.48,USD,2000,116.95
0000900015,Proactive client-driven productivity,HAWA,ELEC-COMP,PC,158.56,USD,1020,107.35
0000900016,Innovative disintermediate extranet,HAWA,SERVICES,EA,16.45,USD,1010,76.04
0000900017,Switchable coherent structure,FERT,SERVICES,PC,23.04,USD,1020,50.63
0000900018,Optimized homogeneous archive,FERT,FINISHED-ASSY,EA,34.02,USD,1010,63.58
0000900019,Organized radical matrices,HAWA,ELEC-COMP,PC,48.67,USD,1010,66.52
0000900020,Reduced impactful monitoring,ROH,MECH-PART,L,14.64,USD,2010,31.68
0000900021,Profit-focused system-worthy instruction set,FERT,PACKAGING,PC,43.8,USD,1010,72.08
0000900022,Quality-focused 5thgeneration utilization,ROH,MECH-PART,L,3.24,USD,1010,20.0
0000900023,Multi-lateral tangible workforce,HAWA,PACKAGING,EA,6.0,USD,2000,92.53
0000900024,Public-key radical productivity,FERT,RAW-CHEM,EA,19.15,USD,1020,35.69
0000900025,Configurable bi-directional throughput,ROH,MECH-PART,EA,92.61,USD,2010,58.08
0000900026,Fully-configurable stable secured line,FERT,RAW-CHEM,EA,6.33,USD,1000,59.59
0000900027,Multi-channeled composite project,ROH,MECH-PART,KG,28.78,USD,1010,56.93
0000900028,Seamless 6thgeneration open system,FERT,FINISHED-ASSY,EA,7.76,USD,1010,55.19
0000900029,Stand-alone systematic project,FERT,MECH-PART,EA,3.46,USD,2000,83.38
0000900030,Open-architected web-enabled groupware,FERT,RAW-CHEM,EA,3.53,USD,1020,115.45
0000900031,Optional bi-directional access,HAWA,ELEC-COMP,EA,86.36,USD,1000,22.26
0000900032,Cross-platform empowering definition,ROH,FINISHED-ASSY,KG,37.27,USD,2010,83.09
0000900033,Profound value-added model,HAWA,ELEC-COMP,PC,48.02,USD,1000,77.62
0000900034,Realigned optimal solution,ROH,MECH-PART,EA,28.77,USD,1000,21.71
0000900035,Re-engineered directional knowledge user,ROH,MECH-PART,EA,16.11,USD,2010,87.74
0000900036,Multi-layered hybrid Local Area Network,FERT,FINISHED-ASSY,PC,19.77,USD,2000,101.35
0000900037,Visionary systematic parallelism,FERT,MECH-PART,EA,8.5,USD,1000,78.04
0000900038,Team-oriented motivating collaboration,FERT,PACKAGING,EA,9.57,USD,1020,40.82
0000900039,Monitored 4thgeneration matrices,HAWA,RAW-CHEM,EA,500.73,USD,1000,64.63
0000900040,Customer-focused explicit instruction set,ROH,FINISHED-ASSY,L,28.78,USD,2000,27.99
0000900041,Configurable bifurcated superstructure,FERT,MECH-PART,PC,161.57,USD,1020,104.97
0000900042,Digitized grid-enabled function,ROH,FINISHED-ASSY,KG,13.89,USD,2000,118.09
0000900043,Mandatory logistical toolset,HAWA,ELEC-COMP,EA,115.62,USD,2000,88.52
0000900044,Expanded multi-state matrices,FERT,SERVICES,PC,17.63,USD,2000,85.88
0000900045,Monitored methodical attitude,ROH,ELEC-COMP,KG,10.12,USD,1000,13.18
0000900046,Organic uniform standardization,FERT,RAW-CHEM,PC,12.02,USD,1020,108.45
0000900047,Organized foreground architecture,DIEN,CONSUMABLES,HR,59.27,USD,2000,27.84
0000900048,Innovative 6thgeneration workforce,DIEN,FINISHED-ASSY,HR,88.57,USD,1010,5.68
0000900049,Triple-buffered bifurcated adapter,FERT,ELEC-COMP,EA,145.94,USD,1010,93.56
0000900050,Mandatory secondary benchmark,FERT,SERVICES,EA,117.04,USD,1020,97.91
0000900051,Synergistic composite support,FERT,FINISHED-ASSY,EA,13.09,USD,1000,71.17
0000900052,Fully-configurable multi-state conglomeration,ROH,ELEC-COMP,EA,12.5,USD,1000,102.27
0000900053,Reactive cohesive groupware,FERT,CONSUMABLES,PC,16.02,USD,1000,66.13
0000900054,Realigned interactive Local Area Network,FERT,PACKAGING,EA,3.58,USD,1010,63.94
0000900055,Focused impactful product,DIEN,FINISHED-ASSY,HR,6.15,USD,2010,118.98
0000900056,Enterprise-wide contextually-based productivity,FERT,PACKAGING,PC,25.73,USD,1020,41.77
0000900057,Switchable intermediate infrastructure,ROH,PACKAGING,KG,76.21,USD,2010,88.08
0000900058,Assimilated user-facing pricing structure,ROH,PACKAGING,EA,16.18,USD,1000,40.11
0000900059,Exclusive local parallelism,FERT,FINISHED-ASSY,PC,44.77,USD,2000,74.25
0000900060,Optimized human-resource ability,HAWA,PACKAGING,EA,20.41,USD,1010,98.17
0000900061,Triple-buffered didactic database,HAWA,FINISHED-ASSY,PC,28.83,USD,1010,34.48
0000900062,Grass-roots web-enabled strategy,ROH,CONSUMABLES,L,25.21,USD,2000,1.14
0000900063,Cloned object-oriented benchmark,HAWA,SERVICES,EA,27.08,USD,1010,51.9
0000900064,Public-key contextually-based hierarchy,HAWA,FINISHED-ASSY,EA,6.66,USD,2000,20.89
0000900065,Inverse dedicated knowledgebase,HAWA,RAW-CHEM,EA,15.82,USD,1000,92.53
0000900066,Customizable empowering secured line,HAWA,PACKAGING,PC,11.42,USD,1010,118.82
0000900067,Pre-emptive multi-tasking productivity,ROH,RAW-CHEM,EA,23.44,USD,1020,71.35
0000900068,Intuitive radical info-mediaries,FERT,PACKAGING,PC,85.65,USD,1010,19.11
0000900069,Seamless hybrid parallelism,ROH,RAW-CHEM,KG,14.84,USD,1020,54.19
0000900070,Customizable grid-enabled help-desk,FERT,RAW-CHEM,PC,50.07,USD,1010,92.75
0000900071,Persevering regional conglomeration,FERT,PACKAGING,EA,72.68,USD,1020,114.11
0000900072,Synergistic tertiary website,FERT,FINISHED-ASSY,EA,50.16,USD,2000,47.74
0000900073,Innovative reciprocal parallelism,FERT,PACKAGING,EA,22.0,USD,1000,38.52
0000900074,Configurable systematic challenge,HAWA,ELEC-COMP,EA,10.4,USD,2000,67.55
0000900075,Intuitive bottom-line encoding,ROH,PACKAGING,L,49.61,USD,1000,104.24
0000900076,Integrated bifurcated contingency,HAWA,RAW-CHEM,EA,45.91,USD,1020,95.63
0000900077,Multi-layered system-worthy circuit,FERT,RAW-CHEM,PC,40.14,USD,1020,22.3
0000900078,Profound human-resource instruction set,ROH,ELEC-COMP,L,5.11,USD,1000,19.34
0000900079,Right-sized client-driven orchestration,ROH,FINISHED-ASSY,KG,47.79,USD,1010,95.72
0000900080,Networked interactive contingency,FERT,MECH-PART,PC,18.09,USD,1010,57.62
0000900081,Pre-emptive scalable monitoring,ROH,PACKAGING,KG,23.86,USD,1000,103.22
0000900082,Team-oriented secondary conglomeration,HAWA,ELEC-COMP,EA,23.89,USD,2000,118.4
0000900083,Realigned composite matrix,FERT,SERVICES,PC,13.09,USD,2000,84.31
0000900084,Horizontal client-driven contingency,ROH,FINISHED-ASSY,L,9.36,USD,1000,98.95
0000900085,Intuitive local process improvement,FERT,CONSUMABLES,PC,25.57,USD,1010,82.75
0000900086,Business-focused heuristic access,HAWA,ELEC-COMP,PC,14.26,USD,1020,14.95
0000900087,Pre-emptive client-driven core,HAWA,ELEC-COMP,PC,15.04,USD,1000,6.28
0000900088,Networked next generation middleware,ROH,MECH-PART,L,52.88,USD,2000,40.77
0000900089,Streamlined modular installation,HAWA,CONSUMABLES,EA,37.82,USD,2000,66.38
0000900090,Synergized mobile instruction set,ROH,CONSUMABLES,KG,21.96,USD,2000,87.8
0000900091,Triple-buffered leadingedge matrix,FERT,SERVICES,PC,127.54,USD,2000,19.19
0000900092,Down-sized attitude-oriented open system,HAWA,CONSUMABLES,EA,7.89,USD,1020,19.44
0000900093,Assimilated well-modulated definition,FERT,PACKAGING,PC,13.71,USD,2010,119.56
0000900094,Implemented 5thgeneration focus group,DIEN,PACKAGING,AU,7.09,USD,2010,50.24
0000900095,Face-to-face national forecast,FERT,CONSUMABLES,PC,45.64,USD,1000,104.2
0000900096,Down-sized zero-defect knowledgebase,HAWA,RAW-CHEM,PC,14.42,USD,2000,92.14
0000900097,Re-contextualized value-added throughput,ROH,MECH-PART,KG,138.57,USD,1020,69.46
0000900098,Visionary modular neural-net,FERT,MECH-PART,EA,21.85,USD,1010,95.17
0000900099,Profound bifurcated orchestration,ROH,PACKAGING,EA,173.98,USD,1010,109.49
0000900100,Customizable encompassing time-frame,FERT,CONSUMABLES,EA,124.49,USD,1020,93.13
0000900101,Quality-focused high-level moratorium,FERT,SERVICES,EA,111.96,USD,1010,28.54
0000900102,Versatile 6thgeneration task-force,DIEN,FINISHED-ASSY,AU,35.03,USD,2000,48.63
